	id	treatment	condition	day	bwc	burON	hr	hrv	temp	act
216	TM+B06	Transmitter	Metamizol	4	90.4522613065327	95.711222301644	538.366972477064	6.38300733944954	36.8789908256881	482.86
217	TM+B06	Transmitter	Metamizol	5	92.964824120603	NA	468.43119266055	7.93331743119266	36.5416513761468	511.66
218	TM+B06	Transmitter	Metamizol	6	94.4723618090452	NA	NA	NA	NA	NA
219	TM+B06	Transmitter	Metamizol	7	95.9798994974875	95.3769559032717	443.128440366972	10.3310302752294	36.0389908256881	538.86
220	TM+B06	Transmitter	Metamizol	8	96.9849246231156	NA	NA	NA	NA	NA
221	TM+B06	Transmitter	Metamizol	9	98.9949748743719	NA	NA	NA	NA	NA
222	TM+B06	Transmitter	Metamizol	10	101.507537688442	NA	NA	NA	NA	NA
223	TM+B06	Transmitter	Metamizol	11	99.4974874371859	NA	NA	NA	NA	NA
224	TM+B06	Transmitter	Metamizol	12	101.005025125628	NA	NA	NA	NA	NA
225	TM+B06	Transmitter	Metamizol	13	103.015075376884	NA	NA	NA	NA	NA
226	TM+B06	Transmitter	Metamizol	14	103.517587939699	NA	404.256880733945	16.6370678899083	35.6929357798165	660.06
227	TM+B06	Transmitter	Metamizol	15	104.020100502513	NA	NA	NA	NA	NA
228	TM+B06	Transmitter	Metamizol	16	103.015075376884	NA	NA	NA	NA	NA
229	TM+B06	Transmitter	Metamizol	17	102.010050251256	NA	NA	NA	NA	NA
230	TM+B06	Transmitter	Metamizol	18	105.025125628141	NA	NA	NA	NA	NA
231	TM+B06	Transmitter	Metamizol	19	105.025125628141	NA	NA	NA	NA	NA
232	TM+B06	Transmitter	Metamizol	20	105.025125628141	NA	NA	NA	NA	NA
233	TM+B06	Transmitter	Metamizol	21	105.025125628141	NA	NA	NA	NA	NA
234	TM+B06	Transmitter	Metamizol	22	105.527638190955	NA	NA	NA	NA	NA
235	TM+B06	Transmitter	Metamizol	23	104.020100502513	NA	NA	NA	NA	NA
236	TM+B06	Transmitter	Metamizol	24	106.532663316583	NA	NA	NA	NA	NA
237	TM+B06	Transmitter	Metamizol	25	109.547738693467	NA	NA	NA	NA	NA
238	TM+B06	Transmitter	Metamizol	26	102.010050251256	NA	NA	NA	NA	NA
239	TM+B06	Transmitter	Metamizol	27	108.542713567839	NA	NA	NA	NA	NA
240	TM+B06	Transmitter	Metamizol	28	111.06	NA	456.229357798165	13.4704321100917	35.5992660550459	591.1
241	TM+B07	Transmitter	Metamizol	-1	100	89.0886852358564	461.009174311927	14.9378247706422	36.56	760.58
242	TM+B07	Transmitter	Metamizol	0	90.2439024390244	44.1910192444761	674.900900900901	3.54236486486486	37.1484684684685	85.6600000000001
243	TM+B07	Transmitter	Metamizol	1	90.2439024390244	79.6573875802998	560.440366972477	5.65788623853211	37.4154128440367	405.46
244	TM+B07	Transmitter	Metamizol	2	92.1951219512195	77.6664280601289	551.706422018349	6.73196605504587	37.5062385321101	287.26
245	TM+B07	Transmitter	Metamizol	3	93.6585365853659	NA	477.091743119266	8.11624311926605	36.6337614678899	397.86
246	TM+B07	Transmitter	Metamizol	4	98.0487804878049	82.3402727925341	533.788990825688	7.23793211009174	36.954495412844	795.26
247	TM+B07	Transmitter	Metamizol	5	98.0487804878049	NA	487.467889908257	9.24084403669725	36.8240366972477	452.86
